Vowel,ReferenceFile,TestFile,DTWDistance
o,220108036_o_1.wav,220108036_o_24.wav,6338.82941261917
o,220108036_o_1.wav,220108036_o_25.wav,6362.365314784
o,220108036_o_1.wav,220108036_o_3.wav,6193.27637810763
o,220108036_o_1.wav,220108036_o_4.wav,5936.11398655437
o,220108036_o_1.wav,220108036_o_5.wav,6382.4040864285
o,220108036_o_1.wav,220108036_o_6.wav,6789.96401309595
o,220108036_o_1.wav,220108036_o_7.wav,6012.04888274332
o,220108036_o_1.wav,220108036_o_8.wav,5925.98103824049
o,220108036_o_1.wav,220108036_o_9.wav,5980.88683122368
u,220108036_u_1.wav,220108036_u_10.wav,5502.69197105551
u,220108036_u_1.wav,220108036_u_11.wav,5157.7911479992
u,220108036_u_1.wav,220108036_u_12.wav,5237.33623260968
u,220108036_u_1.wav,220108036_u_13.wav,5995.93305108468
u,220108036_u_1.wav,220108036_u_14.wav,4957.40641691758
u,220108036_u_1.wav,220108036_u_15.wav,4550.8033684557
u,220108036_u_1.wav,220108036_u_16.wav,5891.28956023797
u,220108036_u_1.wav,220108036_u_17.wav,5230.54453577048
u,220108036_u_1.wav,220108036_u_18.wav,5297.98869950034
u,220108036_u_1.wav,220108036_u_19.wav,5006.21661733429
u,220108036_u_1.wav,220108036_u_2.wav,6719.69458514052
u,220108036_u_1.wav,220108036_u_20.wav,5953.46322379169
u,220108036_u_1.wav,220108036_u_21.wav,5438.72229078938
u,220108036_u_1.wav,220108036_u_22.wav,5001.83951059568
u,220108036_u_1.wav,220108036_u_23.wav,5283.14559382854
u,220108036_u_1.wav,220108036_u_24.wav,5789.65174602324
u,220108036_u_1.wav,220108036_u_25.wav,4924.88606716517
u,220108036_u_1.wav,220108036_u_3.wav,5265.94868652838
u,220108036_u_1.wav,220108036_u_4.wav,5474.54957179713
u,220108036_u_1.wav,220108036_u_5.wav,4881.08559730951
u,220108036_u_1.wav,220108036_u_6.wav,5195.08562137061
u,220108036_u_1.wav,220108036_u_7.wav,4976.20376619708
u,220108036_u_1.wav,220108036_u_8.wav,5239.52900148909
u,220108036_u_1.wav,220108036_u_9.wav,5223.32303711962
